iso,country,dle.percapita,unit
AUT,AT,38.06100494,GJ/cap/yr
BEL,BE,37.46145488,GJ/cap/yr
BGR,BG,34.79260718,GJ/cap/yr
CYP,CY,29.28726635,GJ/cap/yr
CZE,CZ,38.15212721,GJ/cap/yr
DEU,DE,37.3480059,GJ/cap/yr
DNK,DK,40.32144902,GJ/cap/yr
ESP,ES,31.73396096,GJ/cap/yr
EST,EE,44.5665169,GJ/cap/yr
FIN,FI,50.30595128,GJ/cap/yr
FRA,FR,36.08645997,GJ/cap/yr
GRC,EL,33.28023012,GJ/cap/yr
HRV,HR,34.24900821,GJ/cap/yr
HUN,HU,36.83848769,GJ/cap/yr
IRL,IE,35.23549337,GJ/cap/yr
ITA,IT,33.82392203,GJ/cap/yr
LTU,LT,42.08494492,GJ/cap/yr
LUX,LU,41.08885708,GJ/cap/yr
LVA,LV,41.10045575,GJ/cap/yr
MLT,MT,28.61181999,GJ/cap/yr
NLD,NL,37.54267734,GJ/cap/yr
POL,PL,36.99322455,GJ/cap/yr
PRT,PT,30.43907353,GJ/cap/yr
ROU,RO,34.79260718,GJ/cap/yr
SVK,SK,37.00295873,GJ/cap/yr
SVN,SI,37.76615212,GJ/cap/yr
SWE,SE,43.91426621,GJ/cap/yr
